setpoint [rad], position [rad], velocity [rad/s], current [mA], delta_t [ms]
3.03, 3.05, -4.72, 930.74, 2.49
3.03, 3.03, -5.18, 1188.98, 2.51
3.03, 3.03, -5.40, 1162.08, 2.49
3.03, 3.03, -5.64, 887.70, 2.57
3.03, 3.02, -5.73, 653.67, 2.43
3.03, 3.03, -5.76, 373.91, 2.50
3.03, 3.03, -5.68, 145.26, 2.49
3.03, 3.03, -5.52, -29.59, 3.26
3.03, 3.03, -5.32, -86.08, 1.74
3.03, 3.03, -5.11, -158.71, 2.52
3.03, 3.03, -4.70, -153.33, 2.47
3.03, 3.04, -4.41, -134.50, 2.56
3.03, 3.04, -3.93, -80.70, 2.47
3.03, 3.04, -3.57, -26.90, 2.49
3.03, 3.04, -3.07, -21.52, 2.48
3.03, 3.03, -2.57, 32.28, 2.52
3.03, 3.03, -2.25, 29.59, 2.48
3.00, 3.03, -1.82, 29.59, 2.52
3.00, 3.03, -1.58, -1342.31, 2.48
3.00, 3.03, -1.39, -750.51, 2.50
3.00, 3.02, -1.15, -142.57, 2.53
3.00, 3.01, -1.08, 242.10, 2.48
3.00, 3.00, -1.01, 422.33, 2.49
3.00, 3.00, -0.98, 473.44, 2.50
3.00, 3.00, -1.01, 473.44, 2.49
3.00, 2.99, -1.03, 384.67, 2.50
3.00, 2.99, -1.06, 247.48, 2.53
3.00, 3.00, -1.08, 104.91, 2.49
3.00, 3.00, -1.10, 37.66, 2.48
3.00, 3.00, -1.10, -32.28, 2.50
3.00, 3.00, -1.10, -53.80, 2.49
3.00, 3.00, -1.10, -64.56, 2.54
3.00, 3.00, -1.08, -43.04, 2.46
3.00, 3.00, -1.06, -26.90, 2.51
3.00, 3.00, -0.96, -18.83, 2.50
3.00, 3.00, -0.89, -16.14, 2.49
3.00, 3.00, -0.77, -13.45, 2.50
3.06, 3.00, -0.67, 0.00, 2.53
3.06, 3.00, -0.55, 1541.37, 2.49
3.06, 3.01, -0.46, 1401.49, 2.50
3.06, 3.02, -0.31, 616.01, 2.50
3.06, 3.04, -0.12, -215.20, 2.58
3.06, 3.04, 0.00, -578.35, 2.41
3.06, 3.05, 0.14, -720.92, 2.57
3.06, 3.06, 0.41, -750.51, 2.44
3.06, 3.06, 0.55, -626.77, 2.49
3.06, 3.06, 0.77, -457.30, 2.50
3.06, 3.06, 0.91, -285.14, 2.52
3.06, 3.06, 1.08, -150.64, 2.49
3.06, 3.06, 1.18, -10.76, 2.49
3.06, 3.06, 1.29, 72.63, 2.49
3.06, 3.06, 1.34, 126.43, 2.56
3.06, 3.06, 1.39, 86.08, 2.43
3.06, 3.05, 1.39, 67.25, 2.51
3.06, 3.06, 1.34, 61.87, 2.50
3.06, 3.06, 1.25, 5.38, 2.49
3.06, 3.06, 1.10, -8.07, 2.52
3.52, 3.06, 0.98, -8.07, 2.50
3.52, 3.06, 0.82, 1527.92, 2.52
3.52, 3.07, 0.72, 1396.11, 2.46
3.52, 3.08, 0.62, 914.60, 2.51
3.52, 3.09, 0.60, 581.04, 2.48
3.52, 3.11, 0.65, 384.67, 2.50
3.52, 3.12, 0.74, 250.17, 2.50
3.52, 3.14, 0.96, 161.40, 2.54
3.52, 3.16, 1.15, 115.67, 2.47
3.52, 3.18, 1.49, 88.77, 2.50
3.52, 3.20, 1.75, 67.25, 2.51
3.52, 3.22, 2.18, 45.73, 2.49
3.52, 3.24, 2.49, 45.73, 2.50
3.52, 3.26, 3.00, 48.42, 2.50
3.52, 3.28, 3.36, 29.59, 2.58
3.52, 3.29, 3.88, 29.59, 2.42
3.52, 3.31, 4.22, 37.66, 2.50
3.52, 3.33, 4.70, 26.90, 2.49
3.52, 3.35, 5.01, 26.90, 2.53
3.52, 3.37, 5.40, 34.97, 2.47
3.31, 3.39, 5.64, 26.90, 2.51
3.31, 3.41, 5.92, -3020.87, 2.53
3.31, 3.41, 6.09, -2794.91, 2.47
3.31, 3.40, 6.21, -1804.99, 2.50
3.31, 3.39, 6.21, -1148.63, 2.50
3.31, 3.38, 6.07, -734.37, 2.51
3.31, 3.36, 5.88, -457.30, 2.50
3.31, 3.35, 5.44, 107.60, 2.50
3.31, 3.33, 5.11, 667.12, 2.49
3.31, 3.32, 4.46, 965.71, 2.51
3.31, 3.31, 3.98, 1032.96, 2.53
3.31, 3.31, 3.21, 887.70, 2.47
3.31, 3.31, 2.71, 661.74, 2.52
3.31, 3.31, 1.92, 416.95, 2.48
3.31, 3.31, 1.41, 180.23, 2.55
3.31, 3.31, 0.70, 26.90, 2.46
3.31, 3.31, 0.29, -51.11, 2.49
3.31, 3.31, -0.19, -96.84, 2.50
3.31, 3.31, -0.46, -131.81, 2.49
3.31, 3.32, -0.70, -131.81, 2.50
3.36, 3.32, -0.77, -102.22, 2.51
3.36, 3.32, -0.79, 1506.40, 2.49
3.36, 3.33, -0.77, 1113.66, 2.50
3.36, 3.33, -0.60, 344.32, 2.54
3.36, 3.35, -0.46, -201.75, 2.46
3.36, 3.35, -0.22, -503.03, 2.48
3.36, 3.36, -0.02, -602.56, 2.49
3.36, 3.37, 0.22, -605.25, 2.51
3.36, 3.37, 0.38, -503.03, 2.49
3.36, 3.37, 0.62, -347.01, 2.50
3.36, 3.37, 0.74, -217.89, 2.50
3.36, 3.37, 0.89, -102.22, 2.50
3.36, 3.37, 0.96, -26.90, 2.50
3.36, 3.37, 1.06, 56.49, 2.49
3.36, 3.36, 1.10, 80.70, 2.53
3.36, 3.36, 1.15, 64.56, 2.47
3.36, 3.36, 1.15, 43.04, 2.51
3.36, 3.36, 1.08, 21.52, 2.49
3.36, 3.36, 1.03, 8.07, 2.50
3.36, 3.36, 0.89, 13.45, 2.50
3.56, 3.36, 0.79, 10.76, 2.51
3.56, 3.37, 0.65, 1503.71, 2.49
3.56, 3.37, 0.58, 1388.04, 2.50
3.56, 3.38, 0.50, 901.15, 2.50
3.56, 3.40, 0.50, 581.04, 2.50
3.56, 3.42, 0.58, 379.29, 2.50
3.56, 3.43, 0.67, 258.24, 2.50
3.56, 3.45, 0.89, 164.09, 2.51
3.56, 3.47, 1.08, 110.29, 2.50
3.56, 3.49, 1.41, 91.46, 2.50
3.56, 3.51, 1.68, 72.63, 2.49
3.56, 3.53, 2.13, -282.45, 2.51
3.56, 3.54, 2.45, -831.21, 2.52
3.56, 3.56, 2.93, -1154.01, 2.50
3.56, 3.56, 3.26, -1140.56, 2.50
3.56, 3.57, 3.69, -963.02, 2.50
3.56, 3.57, 3.96, -696.71, 2.50
3.56, 3.57, 4.22, -435.78, 2.48
3.56, 3.57, 4.34, -231.34, 2.50
3.56, 3.56, 4.39, -24.21, 2.50
2.62, 3.56, 4.34, 51.11, 2.55
2.62, 3.56, 4.17, -1366.52, 2.46
2.62, 3.55, 4.00, -1258.92, 2.49
2.62, 3.54, 3.67, -839.28, 2.52
2.62, 3.52, 3.36, -543.38, 2.51
2.62, 3.51, 2.78, -349.70, 2.50
2.62, 3.49, 2.35, -239.41, 2.50
2.62, 3.47, 1.63, -180.23, 2.50
2.62, 3.45, 1.15, -123.74, 2.49
2.62, 3.43, 0.38, -94.15, 2.48
2.62, 3.41, -0.10, -83.39, 2.49
2.62, 3.39, -0.86, -72.63, 2.51
2.62, 3.38, -1.34, -53.80, 2.50
2.62, 3.36, -2.06, -48.42, 2.50
2.62, 3.34, -2.54, -56.49, 2.52
2.62, 3.32, -3.21, -40.35, 2.51
2.62, 3.30, -3.65, -43.04, 2.50
2.62, 3.28, -4.22, -51.11, 2.46
2.62, 3.26, -4.58, -43.04, 2.50
2.62, 3.24, -5.04, -37.66, 2.50
3.43, 3.22, -5.32, -48.42, 2.50
3.43, 3.21, -5.66, 2985.90, 2.50
3.43, 3.20, -5.85, 2789.53, 2.50
3.43, 3.21, -6.02, 1842.65, 2.50
3.43, 3.22, -6.04, 1137.87, 2.50
3.43, 3.23, -5.92, 715.54, 2.50
3.43, 3.25, -5.76, 454.61, 2.51
3.43, 3.27, -5.37, 301.28, 2.50
3.43, 3.28, -5.01, 212.51, 2.50
3.43, 3.30, -4.39, 142.57, 2.51
3.43, 3.32, -3.88, 91.46, 2.48
3.43, 3.34, -3.05, 75.32, 2.50
3.43, 3.36, -2.42, 64.56, 2.50
3.43, 3.38, -1.44, 37.66, 2.50
3.43, 3.40, -0.74, -492.27, 2.54
3.43, 3.41, 0.29, -954.95, 2.54
3.43, 3.42, 0.94, -1159.39, 2.46
3.43, 3.43, 1.85, -1100.21, 2.47
3.43, 3.43, 2.35, -919.98, 2.50
3.43, 3.43, 2.97, -599.87, 2.51
3.16, 3.43, 3.26, -376.60, 2.50
3.16, 3.43, 3.57, -1466.05, 2.53
3.16, 3.42, 3.67, -1272.37, 2.50
3.16, 3.41, 3.67, -850.04, 2.48
3.16, 3.39, 3.55, -548.76, 2.52
3.16, 3.38, 3.24, -355.08, 2.49
3.16, 3.36, 2.95, -239.41, 2.50
3.16, 3.34, 2.37, -172.16, 2.50
3.16, 3.32, 1.92, -129.12, 2.50
3.16, 3.30, 1.18, -88.77, 2.50
3.16, 3.28, 0.62, -75.32, 2.48
3.16, 3.26, -0.17, -72.63, 2.50
3.16, 3.25, -0.72, -56.49, 2.50
3.16, 3.23, -1.53, -48.42, 2.50
3.16, 3.21, -2.06, 18.83, 2.55
3.16, 3.19, -2.83, 543.38, 2.46
3.16, 3.17, -3.29, 1022.20, 2.50
3.16, 3.16, -3.91, 1191.67, 2.52
3.16, 3.16, -4.24, 1121.73, 2.49
3.16, 3.15, -4.65, 850.04, 2.49
2.82, 3.15, -4.82, 575.66, 2.54
2.82, 3.15, -4.96, -1503.71, 2.46
2.82, 3.14, -4.99, -1495.64, 2.49
2.82, 3.13, -4.96, -997.99, 2.50
2.82, 3.12, -4.94, -645.60, 2.51
2.82, 3.10, -4.84, -427.71, 2.50
2.82, 3.09, -4.80, -277.07, 2.50
2.82, 3.07, -4.70, -182.92, 2.50
2.82, 3.05, -4.65, -134.50, 2.49
2.82, 3.03, -4.58, -110.29, 2.50
2.82, 3.01, -4.56, -88.77, 2.52
2.82, 2.99, -4.58, -64.56, 2.50
2.82, 2.97, -4.63, -64.56, 2.48
2.82, 2.95, -4.77, -61.87, 2.49
2.82, 2.93, -4.92, -48.42, 2.50
2.82, 2.92, -5.18, -45.73, 2.50
2.82, 2.90, -5.40, -56.49, 2.55
2.82, 2.87, -5.68, -40.35, 2.45
2.82, 2.86, -5.88, 80.70, 2.50
2.82, 2.84, -6.14, 675.19, 2.50
3.67, 2.83, -6.28, 1054.48, 2.65
3.67, 2.82, -6.47, 2641.58, 2.34
3.67, 2.82, -6.52, 2189.66, 2.50
3.67, 2.83, -6.52, 1433.77, 2.52
3.67, 2.84, -6.43, 898.46, 2.51
3.67, 2.85, -6.14, 570.28, 2.46
3.67, 2.87, -5.85, 376.60, 2.50
3.67, 2.89, -5.32, 247.48, 2.54
3.67, 2.91, -4.89, 161.40, 2.46
3.67, 2.93, -4.12, 107.60, 2.50
3.67, 2.95, -3.57, 88.77, 2.56
3.67, 2.96, -2.64, 69.94, 2.48
3.67, 2.98, -1.97, 45.73, 2.49
3.67, 3.00, -0.94, 43.04, 2.47
3.67, 3.02, -0.22, 45.73, 2.51
3.67, 3.04, 0.79, 32.28, 2.51
3.67, 3.06, 1.46, 32.28, 2.52
3.67, 3.08, 2.37, 37.66, 2.50
3.67, 3.10, 2.93, 29.59, 2.47
3.67, 3.12, 3.67, 24.21, 2.53
3.37, 3.14, 4.10, 32.28, 2.48
3.37, 3.15, 4.68, -107.60, 2.50
3.37, 3.17, 4.99, 83.39, 2.54
3.37, 3.19, 5.42, 83.39, 2.49
3.37, 3.21, 5.66, 72.63, 2.48
3.37, 3.23, 5.97, 51.11, 2.52
3.37, 3.25, 6.14, 37.66, 2.46
3.37, 3.27, 6.38, 40.35, 2.50
3.37, 3.29, 6.50, 40.35, 2.50
3.37, 3.31, 6.67, 24.21, 2.50
3.37, 3.32, 6.74, -59.18, 2.50
3.37, 3.34, 6.86, -607.94, 2.51
3.37, 3.36, 6.93, -1008.75, 2.50
3.37, 3.37, 6.98, -1156.70, 2.49
3.37, 3.37, 7.00, -1078.69, 2.51
3.37, 3.38, 6.93, -858.11, 2.49
3.37, 3.38, 6.86, -551.45, 2.51
3.37, 3.38, 6.67, -341.63, 2.49
3.37, 3.37, 6.47, -123.74, 2.50
3.37, 3.37, 6.14, 10.76, 2.50
3.19, 3.37, 5.88, 83.39, 2.70
3.19, 3.37, 5.42, -1374.59, 2.30
3.19, 3.36, 5.08, -1283.13, 2.51
3.19, 3.34, 4.51, -850.04, 2.49
3.19, 3.33, 4.05, -548.76, 2.52
3.19, 3.31, 3.33, -357.77, 2.51
3.19, 3.30, 2.81, -250.17, 2.47
3.19, 3.28, 1.99, -180.23, 2.50
3.19, 3.26, 1.44, -123.74, 2.50
3.19, 3.24, 0.62, -78.01, 2.51
3.19, 3.22, 0.10, 357.77, 2.52
3.19, 3.21, -0.67, 852.73, 2.46
3.19, 3.20, -1.15, 1154.01, 2.50
3.19, 3.19, -1.85, 1175.53, 2.50
3.19, 3.18, -2.28, 933.43, 2.55
3.19, 3.18, -2.81, 718.23, 2.46
3.19, 3.18, -3.09, 395.43, 2.50
3.19, 3.18, -3.41, 164.09, 2.56
3.19, 3.19, -3.53, -16.14, 2.46
3.19, 3.19, -3.57, -80.70, 2.50
3.09, 3.19, -3.55, -107.60, 2.47
3.09, 3.19, -3.41, -1662.42, 2.53
3.09, 3.18, -3.26, -1501.02, 2.51
3.09, 3.17, -3.02, -992.61, 2.50
3.09, 3.16, -2.85, -640.22, 2.48
3.09, 3.14, -2.64, -387.36, 2.47
3.09, 3.12, -2.52, 215.20, 2.53
3.09, 3.11, -2.42, 755.89, 2.48
3.09, 3.10, -2.37, 987.23, 2.49
3.09, 3.09, -2.40, 1035.65, 2.50
3.09, 3.09, -2.45, 831.21, 2.50
3.09, 3.08, -2.54, 626.77, 2.50
3.09, 3.09, -2.59, 368.53, 2.54
3.09, 3.09, -2.69, 172.16, 2.48
3.09, 3.09, -2.76, 16.14, 2.48
3.09, 3.09, -2.81, -51.11, 2.49
3.09, 3.09, -2.81, -91.46, 2.54
3.09, 3.09, -2.73, -129.12, 2.46
3.09, 3.09, -2.64, -104.91, 2.50
3.09, 3.09, -2.42, -86.08, 2.50
2.55, 3.09, -2.25, -53.80, 2.53
2.55, 3.09, -1.94, -1533.30, 2.48
2.55, 3.09, -1.75, -1412.25, 2.50
2.55, 3.07, -1.49, -952.26, 2.50
2.55, 3.06, -1.37, -621.39, 2.50
2.55, 3.04, -1.27, -406.19, 2.50
2.55, 3.03, -1.27, -260.93, 2.51
2.55, 3.01, -1.37, -180.23, 2.49
2.55, 2.99, -1.49, -137.19, 2.49
2.55, 2.97, -1.75, -112.98, 2.51
2.55, 2.95, -1.99, -80.70, 2.54
2.55, 2.93, -2.37, -67.25, 2.44
2.55, 2.91, -2.66, -67.25, 2.50
2.55, 2.89, -3.14, -56.49, 2.50
2.55, 2.87, -3.48, -43.04, 2.51
2.55, 2.85, -4.00, -51.11, 2.49
2.55, 2.83, -4.34, -48.42, 2.50
2.55, 2.82, -4.82, -40.35, 2.50
2.55, 2.79, -5.11, -43.04, 2.50
2.55, 2.77, -5.49, -51.11, 2.50
3.32, 2.76, -5.73, -37.66, 2.50
3.32, 2.74, -6.02, 2993.97, 2.49
3.32, 2.74, -6.19, 2778.77, 2.52
3.32, 2.74, -6.33, 1815.75, 2.52
3.32, 2.75, -6.33, 1159.39, 2.46
3.32, 2.77, -6.19, 731.68, 2.50
3.32, 2.78, -6.00, 473.44, 2.53
3.32, 2.80, -5.56, 303.97, 2.48
3.32, 2.82, -5.18, 193.68, 2.50
3.32, 2.84, -4.51, 134.50, 2.49
3.32, 2.85, -4.00, 107.60, 2.50
3.32, 2.87, -3.14, 78.01, 2.50
3.32, 2.89, -2.52, 53.80, 2.55
3.32, 2.91, -1.51, 51.11, 2.48
3.32, 2.93, -0.79, 48.42, 2.47
3.32, 2.95, 0.26, 32.28, 2.50
3.32, 2.97, 0.96, 34.97, 2.54
3.32, 2.99, 1.94, 37.66, 2.48
3.32, 3.01, 2.52, 32.28, 2.50
3.32, 3.03, 3.31, 26.90, 2.47
3.92, 3.05, 3.79, 34.97, 2.50
3.92, 3.07, 4.41, 26.90, 2.50
3.92, 3.09, 4.75, 24.21, 2.52
3.92, 3.10, 5.23, 26.90, 2.48
3.92, 3.12, 5.49, 32.28, 2.49
3.92, 3.14, 5.85, 21.52, 2.50
3.92, 3.16, 6.04, 26.90, 2.51
3.92, 3.18, 6.31, 34.97, 2.52
3.92, 3.20, 6.45, 24.21, 2.46
3.92, 3.22, 6.64, 24.21, 2.52
3.92, 3.24, 6.74, 32.28, 2.48
3.92, 3.26, 6.88, 26.90, 2.50
3.92, 3.28, 6.95, 24.21, 2.50
3.92, 3.30, 7.07, 32.28, 2.50
3.92, 3.32, 7.12, 29.59, 2.50
3.92, 3.34, 7.19, 21.52, 2.53
3.92, 3.35, 7.24, 29.59, 2.47
3.92, 3.37, 7.29, 32.28, 2.50
3.92, 3.39, 7.31, 18.83, 2.52
3.92, 3.41, 7.36, 26.90, 2.48
3.39, 3.43, 7.39, 34.97, 2.54
3.39, 3.45, 7.41, -2991.28, 2.49
3.39, 3.45, 7.41, -2789.53, 2.48
3.39, 3.45, 7.34, -1829.20, 2.49
3.39, 3.44, 7.22, -1019.51, 2.50
3.39, 3.42, 6.91, -156.02, 2.54
3.39, 3.41, 6.64, 365.84, 2.46
3.39, 3.40, 6.12, 685.95, 2.50
3.39, 3.39, 5.73, 793.55, 2.50
3.39, 3.39, 5.06, 723.61, 2.50
3.39, 3.39, 4.63, 554.14, 2.50
3.39, 3.39, 3.93, 355.08, 2.50
3.39, 3.39, 3.45, 220.58, 2.56
3.39, 3.39, 2.76, 86.08, 2.45
3.39, 3.39, 2.30, -8.07, 2.50
3.39, 3.39, 1.63, -67.25, 2.51
3.39, 3.39, 1.27, -121.05, 2.48
3.39, 3.39, 0.79, -99.53, 2.53
3.39, 3.40, 0.58, -48.42, 2.47
3.39, 3.39, 0.34, -53.80, 2.55
2.52, 3.39, 0.24, -32.28, 2.45
2.52, 3.39, 0.14, -1487.57, 2.55
2.52, 3.39, 0.12, -1396.11, 2.45
2.52, 3.37, 0.07, -922.67, 2.50
2.52, 3.36, 0.00, -594.49, 2.52
2.52, 3.34, -0.12, -392.74, 2.49
2.52, 3.32, -0.26, -269.00, 2.49
2.52, 3.31, -0.53, -188.30, 2.50
2.52, 3.29, -0.77, -129.12, 2.50
2.52, 3.27, -1.15, -99.53, 2.53
2.52, 3.25, -1.44, -91.46, 2.53
2.52, 3.23, -1.92, -64.56, 2.44
2.52, 3.21, -2.25, -56.49, 2.51
