setpoint [rad], position [rad], velocity [rad/s],acceleration [rad/s^2], current [mA], delta_t [ms]
3.18, 3.18, -2.59,nan, -94.15, 2.50
3.16, 3.18, -2.40,nan, -34.97, 2.48
3.16, 3.18, -2.09,nan, -946.88, 2.51
3.16, 3.18, -1.87,nan, -443.85, 2.50
3.16, 3.17, -1.58,nan, -56.49, 2.52
3.16, 3.17, -1.41,nan, 188.30, 2.49
3.16, 3.16, -1.22,nan, 309.35, 2.50
3.16, 3.16, -1.13,nan, 371.22, 2.49
3.16, 3.16, -1.03,nan, 301.28, 2.50
3.16, 3.16, -0.98,nan, 242.10, 2.50
3.16, 3.16, -0.94,nan, 145.26, 2.51
3.16, 3.16, -0.91,nan, 83.39, 2.51
3.16, 3.16, -0.89,nan, 0.00, 2.48
3.16, 3.16, -0.89,nan, -51.11, 2.49
3.16, 3.16, -0.86,nan, -61.87, 2.50
3.16, 3.16, -0.84,nan, -40.35, 2.52
3.16, 3.16, -0.82,nan, -51.11, 2.46
3.16, 3.16, -0.77,nan, -16.14, 2.51
3.16, 3.16, -0.70,nan, -8.07, 2.50
3.16, 3.16, -0.65,nan, 0.00, 2.57
3.16, 3.16, -0.55,nan, 2.69, 2.46
3.18, 3.16, -0.48,nan, 0.00, 2.50
3.18, 3.16, -0.38,nan, 868.87, 2.46
3.18, 3.17, -0.34,nan, 457.30, 2.54
3.18, 3.17, -0.22,nan, 59.18, 2.49
3.18, 3.18, -0.17,nan, -142.57, 2.49
3.18, 3.18, -0.05,nan, -271.69, 2.47
3.18, 3.18, 0.00,nan, -293.21, 2.50
3.18, 3.18, 0.10,nan, -260.93, 2.50
3.18, 3.18, 0.17,nan, -239.41, 2.52
3.18, 3.18, 0.26,nan, -147.95, 2.48
3.18, 3.18, 0.31,nan, -37.66, 2.51
3.18, 3.18, 0.38,nan, 0.00, 2.48
3.18, 3.18, 0.41,nan, 34.97, 2.50
3.18, 3.18, 0.46,nan, 48.42, 2.51
3.18, 3.18, 0.48,nan, 29.59, 2.49
3.18, 3.18, 0.50,nan, 32.28, 2.50
3.18, 3.18, 0.48,nan, 0.00, 2.50
3.18, 3.18, 0.46,nan, 10.76, 2.50
3.18, 3.18, 0.43,nan, 0.00, 2.50
3.18, 3.18, 0.36,nan, 0.00, 2.54
2.56, 3.18, 0.34,nan, 2.69, 2.51
2.56, 3.18, 0.26,nan, -1549.44, 2.47
2.56, 3.17, 0.22,nan, -1412.25, 2.51
2.56, 3.16, 0.12,nan, -928.05, 2.49
2.56, 3.14, 0.02,nan, -597.18, 2.49
2.56, 3.13, -0.17,nan, -390.05, 2.51
2.56, 3.11, -0.31,nan, -252.86, 2.50
2.56, 3.09, -0.62,nan, -180.23, 2.50
2.56, 3.08, -0.84,nan, -139.88, 2.50
2.56, 3.06, -1.22,nan, -115.67, 2.50
2.56, 3.04, -1.51,nan, -80.70, 2.50
2.56, 3.02, -1.99,nan, -69.94, 2.50
2.56, 3.00, -2.33,nan, -72.63, 2.50
2.56, 2.98, -2.85,nan, -64.56, 2.50
2.56, 2.96, -3.21,nan, -51.11, 2.50
2.56, 2.95, -3.76,nan, -53.80, 2.50
2.56, 2.93, -4.12,nan, -56.49, 2.50
2.56, 2.91, -4.60,nan, -51.11, 2.52
2.56, 2.89, -4.89,nan, -45.73, 2.50
2.56, 2.87, -5.30,nan, -56.49, 2.52
3.45, 2.85, -5.54,nan, -53.80, 2.49
3.45, 2.83, -5.85,nan, 2993.97, 2.50
3.45, 2.83, -6.02,nan, 2768.01, 2.49
3.45, 2.84, -6.16,nan, 1772.71, 2.51
3.45, 2.85, -6.16,nan, 1073.31, 2.50
3.45, 2.86, -6.00,nan, 664.43, 2.49
3.45, 2.88, -5.80,nan, 419.64, 2.49
3.45, 2.89, -5.37,nan, 279.76, 2.51
3.45, 2.91, -5.01,nan, 196.37, 2.55
3.45, 2.93, -4.34,nan, 145.26, 2.56
3.45, 2.95, -3.84,nan, 104.91, 2.44
3.45, 2.97, -3.00,nan, 78.01, 2.50
3.45, 2.99, -2.37,nan, 72.63, 2.51
3.45, 3.01, -1.37,nan, 67.25, 2.50
3.45, 3.03, -0.67,nan, 48.42, 2.47
3.45, 3.04, 0.36,nan, 51.11, 2.52
3.45, 3.06, 1.03,nan, 56.49, 2.50
3.45, 3.08, 1.99,nan, 45.73, 2.44
3.45, 3.10, 2.57,nan, 40.35, 2.50
3.45, 3.12, 3.33,nan, 45.73, 2.50
3.07, 3.14, 3.76,nan, 48.42, 2.50
3.07, 3.15, 4.36,nan, -3002.04, 2.50
3.07, 3.15, 4.70,nan, -2781.46, 2.51
3.07, 3.15, 5.04,nan, -1783.47, 2.52
3.07, 3.14, 5.16,nan, -1100.21, 2.50
3.07, 3.12, 5.16,nan, -691.33, 2.47
3.07, 3.11, 5.06,nan, -277.07, 2.50
3.07, 3.09, 4.75,nan, 381.98, 2.50
3.07, 3.08, 4.46,nan, 785.48, 2.51
3.07, 3.07, 3.93,nan, 911.91, 2.50
3.07, 3.06, 3.53,nan, 903.84, 2.50
3.07, 3.06, 2.85,nan, 726.30, 2.51
3.07, 3.06, 2.40,nan, 497.65, 2.50
3.07, 3.06, 1.70,nan, 312.04, 2.50
3.07, 3.06, 1.25,nan, 110.29, 2.50
3.07, 3.07, 0.60,nan, -5.38, 2.50
3.07, 3.07, 0.24,nan, -91.46, 2.50
3.07, 3.07, -0.19,nan, -112.98, 2.50
3.07, 3.07, -0.41,nan, -88.77, 2.52
3.07, 3.07, -0.60,nan, -56.49, 2.51
3.44, 3.07, -0.67,nan, -43.04, 2.48
3.44, 3.07, -0.67,nan, 1503.71, 2.57
3.44, 3.08, -0.62,nan, 1390.73, 2.52
3.44, 3.09, -0.48,nan, 903.84, 2.39
3.44, 3.11, -0.34,nan, 572.97, 2.50
3.44, 3.12, -0.07,nan, 373.91, 2.51
3.44, 3.14, 0.12,nan, 244.79, 2.50
3.44, 3.16, 0.46,nan, 158.71, 2.51
3.44, 3.17, 0.72,nan, 123.74, 2.55
3.44, 3.19, 1.15,nan, 102.22, 2.50
3.44, 3.21, 1.44,nan, 80.70, 2.45
3.44, 3.23, 1.92,nan, 59.18, 2.50
3.44, 3.25, 2.25,nan, 61.87, 2.50
3.44, 3.27, 2.78,nan, 61.87, 2.50
3.44, 3.29, 3.14,nan, 51.11, 2.49
3.44, 3.31, 3.69,nan, 43.04, 2.50
3.44, 3.32, 4.05,nan, 51.11, 2.49
3.44, 3.34, 4.53,nan, 51.11, 2.55
3.44, 3.36, 4.84,nan, 40.35, 2.48
3.44, 3.38, 5.25,nan, 45.73, 2.49
3.45, 3.40, 5.47,nan, -247.48, 2.51
3.45, 3.42, 5.78,nan, -88.77, 2.47
3.45, 3.43, 5.97,nan, -685.95, 2.54
3.45, 3.45, 6.16,nan, -1000.68, 2.48
3.45, 3.46, 6.28,nan, -1086.76, 2.49
3.45, 3.46, 6.35,nan, -922.67, 2.50
3.45, 3.46, 6.38,nan, -685.95, 2.51
3.45, 3.46, 6.28,nan, -457.30, 2.48
3.45, 3.46, 6.19,nan, -239.41, 2.50
3.45, 3.46, 5.95,nan, -29.59, 2.49
3.45, 3.46, 5.73,nan, 61.87, 2.50
3.45, 3.46, 5.35,nan, 86.08, 2.50
3.45, 3.45, 5.06,nan, 104.91, 2.53
3.45, 3.45, 4.60,nan, 99.53, 2.46
3.45, 3.45, 4.27,nan, 59.18, 2.50
3.45, 3.45, 3.74,nan, 34.97, 2.51
3.45, 3.45, 3.38,nan, 48.42, 2.49
3.45, 3.45, 2.85,nan, 13.45, 2.50
3.45, 3.45, 2.52,nan, -8.07, 2.50
3.45, 3.45, 2.06,nan, -5.38, 2.52
2.91, 3.45, 1.80,nan, -16.14, 2.51
2.91, 3.45, 1.46,nan, -1570.96, 2.50
2.91, 3.44, 1.27,nan, -1404.18, 2.50
2.91, 3.43, 0.98,nan, -909.22, 2.50
2.91, 3.42, 0.79,nan, -575.66, 2.50
2.91, 3.40, 0.46,nan, -379.29, 2.50
2.91, 3.38, 0.24,nan, -260.93, 2.49
2.91, 3.37, -0.12,nan, -193.68, 2.50
2.91, 3.35, -0.41,nan, -134.50, 2.50
2.91, 3.33, -0.86,nan, -96.84, 2.51
2.91, 3.31, -1.18,nan, -83.39, 2.50
2.91, 3.29, -1.68,nan, -80.70, 2.50
2.91, 3.27, -2.04,nan, -61.87, 2.51
2.91, 3.25, -2.61,nan, -56.49, 2.46
2.91, 3.24, -3.00,nan, -61.87, 2.50
2.91, 3.22, -3.57,nan, -56.49, 2.50
2.91, 3.20, -3.93,nan, -45.73, 2.59
2.91, 3.18, -4.44,nan, -51.11, 2.47
2.91, 3.16, -4.75,nan, -59.18, 2.43
2.91, 3.14, -5.16,nan, -48.42, 2.51
3.16, 3.12, -5.42,nan, -45.73, 2.49
3.16, 3.11, -5.73,nan, 3012.80, 2.51
3.16, 3.11, -5.90,nan, 2759.94, 2.49
3.16, 3.11, -6.04,nan, 1735.05, 2.51
3.16, 3.12, -6.04,nan, 728.99, 2.50
3.16, 3.13, -5.92,nan, 5.38, 2.49
3.16, 3.14, -5.73,nan, -435.78, 2.54
3.16, 3.15, -5.37,nan, -605.25, 2.49
3.16, 3.16, -5.06,nan, -712.85, 2.50
3.16, 3.16, -4.53,nan, -567.59, 2.50
3.16, 3.16, -4.15,nan, -408.88, 2.50
3.16, 3.16, -3.55,nan, -271.69, 2.48
3.16, 3.16, -3.14,nan, -142.57, 2.50
3.16, 3.16, -2.52,nan, -13.45, 2.50
3.16, 3.16, -2.11,nan, 51.11, 2.50
3.16, 3.16, -1.51,nan, 34.97, 2.49
3.16, 3.16, -1.18,nan, 86.08, 2.50
3.16, 3.16, -0.77,nan, 48.42, 2.51
3.16, 3.16, -0.55,nan, 37.66, 2.52
3.16, 3.16, -0.36,nan, 5.38, 2.48
3.78, 3.16, -0.26,nan, 0.00, 2.50
3.78, 3.16, -0.19,nan, 1506.40, 2.49
3.78, 3.16, -0.17,nan, 1390.73, 2.51
3.78, 3.18, -0.10,nan, 898.46, 2.48
3.78, 3.19, -0.02,nan, 567.59, 2.50
3.78, 3.21, 0.10,nan, 371.22, 2.50
3.78, 3.22, 0.26,nan, 250.17, 2.50
3.78, 3.24, 0.53,nan, 169.47, 2.50
3.78, 3.26, 0.77,nan, 112.98, 2.50
3.78, 3.28, 1.15,nan, 94.15, 2.54
3.78, 3.30, 1.44,nan, 83.39, 2.48
3.78, 3.32, 1.89,nan, 64.56, 2.53
3.78, 3.33, 2.23,nan, 53.80, 2.45
3.78, 3.35, 2.76,nan, 56.49, 2.51
3.78, 3.37, 3.12,nan, 53.80, 2.50
3.78, 3.39, 3.67,nan, 40.35, 2.50
3.78, 3.41, 4.03,nan, 43.04, 2.52
3.78, 3.43, 4.53,nan, 48.42, 2.48
3.78, 3.45, 4.82,nan, 40.35, 2.50
3.78, 3.47, 5.23,nan, 34.97, 2.55
3.10, 3.49, 5.47,nan, 45.73, 2.46
3.10, 3.50, 5.78,nan, -2991.28, 2.50
3.10, 3.51, 5.95,nan, -2797.60, 2.49
3.10, 3.50, 6.09,nan, -1826.51, 2.55
3.10, 3.49, 6.09,nan, -1127.11, 2.47
3.10, 3.47, 5.95,nan, -704.78, 2.55
3.10, 3.46, 5.76,nan, -451.92, 2.44
3.10, 3.44, 5.35,nan, -306.66, 2.49
3.10, 3.42, 4.99,nan, -217.89, 2.50
3.10, 3.41, 4.32,nan, -145.26, 2.58
3.10, 3.39, 3.81,nan, -104.91, 2.48
3.10, 3.37, 2.97,nan, -96.84, 2.52
3.10, 3.35, 2.37,nan, -78.01, 2.44
3.10, 3.33, 1.39,nan, -61.87, 2.48
3.10, 3.31, 0.70,nan, -59.18, 2.50
3.10, 3.29, -0.31,nan, -64.56, 2.50
3.10, 3.27, -0.98,nan, -53.80, 2.50
3.10, 3.26, -1.94,nan, -43.04, 2.54
3.10, 3.24, -2.49,nan, -53.80, 2.47
3.10, 3.22, -3.26,nan, -56.49, 2.49
3.39, 3.20, -3.72,nan, -43.04, 2.50
3.39, 3.18, -4.32,nan, 2988.59, 2.50
3.39, 3.18, -4.63,nan, 2768.01, 2.50
3.39, 3.19, -4.99,nan, 1767.33, 2.56
3.39, 3.20, -5.11,nan, 1105.59, 2.47
3.39, 3.21, -5.13,nan, 694.02, 2.48
3.39, 3.23, -5.04,nan, 435.78, 2.50
3.39, 3.24, -4.72,nan, 277.07, 2.52
3.39, 3.26, -4.44,nan, 190.99, 2.48
3.39, 3.28, -3.88,nan, 139.88, 2.53
3.39, 3.30, -3.43,nan, 112.98, 2.44
3.39, 3.32, -2.66,nan, 80.70, 2.51
3.39, 3.34, -2.09,nan, 61.87, 2.51
3.39, 3.35, -1.15,nan, -320.11, 2.49
3.39, 3.37, -0.50,nan, -844.66, 2.50
3.39, 3.38, 0.48,nan, -1032.96, 2.51
3.39, 3.39, 1.10,nan, -1078.69, 2.49
3.39, 3.39, 1.92,nan, -922.67, 2.50
3.39, 3.39, 2.37,nan, -645.60, 2.50
3.39, 3.39, 2.90,nan, -406.19, 2.58
2.24, 3.39, 3.14,nan, -223.27, 2.42
2.24, 3.39, 3.38,nan, -1388.04, 2.57
2.24, 3.38, 3.43,nan, -1258.92, 2.42
2.24, 3.37, 3.38,nan, -828.52, 2.50
2.24, 3.35, 3.24,nan, -532.62, 2.51
2.24, 3.34, 2.90,nan, -355.08, 2.50
2.24, 3.32, 2.57,nan, -239.41, 2.49
2.24, 3.30, 1.99,nan, -158.71, 2.50
2.24, 3.28, 1.53,nan, -118.36, 2.50
2.24, 3.26, 0.79,nan, -104.91, 2.50
2.24, 3.25, 0.29,nan, -83.39, 2.51
2.24, 3.23, -0.48,nan, -61.87, 2.49
2.24, 3.21, -0.98,nan, -61.87, 2.50
2.24, 3.19, -1.75,nan, -64.56, 2.50
2.24, 3.17, -2.25,nan, -53.80, 2.54
2.24, 3.15, -2.95,nan, -48.42, 2.46
2.24, 3.13, -3.41,nan, -53.80, 2.52
2.24, 3.11, -4.00,nan, -53.80, 2.49
2.24, 3.10, -4.39,nan, -45.73, 2.50
2.24, 3.08, -4.87,nan, -45.73, 2.59
3.57, 3.06, -5.16,nan, -59.18, 2.40
3.57, 3.04, -5.52,nan, 3007.42, 2.49
3.57, 3.04, -5.71,nan, 2762.63, 2.51
3.57, 3.05, -5.88,nan, 1783.47, 2.52
3.57, 3.06, -5.92,nan, 1094.83, 2.49
3.57, 3.07, -5.80,nan, 677.88, 2.48
3.57, 3.09, -5.64,nan, 435.78, 2.54
3.57, 3.10, -5.23,nan, 287.83, 2.50
3.57, 3.12, -4.89,nan, 207.13, 2.46
3.57, 3.14, -4.24,nan, 145.26, 2.50
3.57, 3.16, -3.74,nan, 102.22, 2.56
3.57, 3.17, -2.93,nan, 83.39, 2.50
3.57, 3.20, -2.33,nan, 75.32, 2.44
3.57, 3.21, -1.34,nan, 61.87, 2.50
3.57, 3.23, -0.65,nan, 48.42, 2.52
3.57, 3.25, 0.36,nan, 51.11, 2.54
3.57, 3.27, 1.03,nan, 56.49, 2.49
3.57, 3.29, 1.97,nan, 40.35, 2.45
3.57, 3.31, 2.54,nan, 40.35, 2.54
3.57, 3.33, 3.29,nan, 51.11, 2.52
3.06, 3.34, 3.74,nan, 40.35, 2.45
3.06, 3.36, 4.34,nan, -2996.66, 2.49
3.06, 3.36, 4.65,nan, -2762.63, 2.49
3.06, 3.35, 5.01,nan, -1775.40, 2.50
3.06, 3.34, 5.13,nan, -1100.21, 2.50
3.06, 3.33, 5.13,nan, -691.33, 2.51
3.06, 3.32, 5.04,nan, -438.47, 2.51
3.06, 3.30, 4.72,nan, -293.21, 2.49
3.06, 3.28, 4.44,nan, -207.13, 2.52
3.06, 3.26, 3.88,nan, -156.02, 2.48
3.06, 3.24, 3.43,nan, -112.98, 2.49
3.06, 3.23, 2.64,nan, -83.39, 2.50
3.06, 3.21, 2.06,nan, -75.32, 2.57
3.06, 3.19, 1.13,nan, -72.63, 2.46
3.06, 3.17, 0.48,nan, -56.49, 2.48
3.06, 3.15, -0.50,nan, -53.80, 2.55
3.06, 3.13, -1.18,nan, -61.87, 2.45
3.06, 3.11, -2.09,nan, -56.49, 2.51
3.06, 3.10, -2.64,nan, 150.64, 2.49
3.06, 3.08, -3.38,nan, 699.40, 2.52
2.99, 3.06, -3.81,nan, 1065.24, 2.54
2.99, 3.05, -4.36,nan, -381.98, 2.49
2.99, 3.04, -4.65,nan, -626.77, 2.46
2.99, 3.03, -5.01,nan, -196.37, 2.54
2.99, 3.01, -5.20,nan, 441.16, 2.47
2.99, 3.00, -5.44,nan, 809.69, 2.49
2.99, 2.99, -5.56,nan, 968.40, 2.48
2.99, 2.98, -5.66,nan, 882.32, 2.52
2.99, 2.98, -5.68,nan, 680.57, 2.55
2.99, 2.98, -5.61,nan, 459.99, 2.48
2.99, 2.98, -5.52,nan, 269.00, 2.48
2.99, 2.98, -5.28,nan, 69.94, 2.49
2.99, 2.98, -5.08,nan, -18.83, 2.54
2.99, 2.98, -4.75,nan, -91.46, 2.46
2.99, 2.99, -4.48,nan, -126.43, 2.47
2.99, 2.99, -4.08,nan, -110.29, 2.49
2.99, 2.99, -3.81,nan, -83.39, 2.50
2.99, 2.99, -3.36,nan, -56.49, 2.58
2.99, 2.99, -3.05,nan, -18.83, 2.46
2.99, 2.99, -2.59,nan, -10.76, 2.58
3.01, 2.99, -2.30,nan, 0.00, 2.42
3.01, 2.99, -1.89,nan, 1014.13, 2.47
3.01, 2.99, -1.65,nan, 497.65, 2.50
3.01, 3.00, -1.32,nan, 88.77, 2.56
3.01, 3.00, -1.10,nan, -169.47, 2.47
3.01, 3.01, -0.82,nan, -266.31, 2.50
3.01, 3.01, -0.62,nan, -341.63, 2.47
3.01, 3.01, -0.38,nan, -293.21, 2.50
3.01, 3.01, -0.26,nan, -242.10, 2.50
3.01, 3.01, -0.07,nan, -166.78, 2.50
3.01, 3.01, 0.00,nan, -86.08, 2.50
3.01, 3.01, 0.14,nan, -10.76, 2.50
3.01, 3.01, 0.22,nan, 61.87, 2.50
3.01, 3.01, 0.31,nan, 53.80, 2.50
3.01, 3.01, 0.36,nan, 29.59, 2.50
3.01, 3.01, 0.41,nan, 13.45, 2.53
3.01, 3.01, 0.43,nan, 2.69, 2.47
3.01, 3.01, 0.41,nan, 10.76, 2.56
3.01, 3.01, 0.38,nan, 18.83, 2.43
3.01, 3.01, 0.34,nan, -5.38, 2.52
2.96, 3.01, 0.31,nan, -5.38, 2.50
2.96, 3.01, 0.24,nan, -1511.78, 2.50
2.96, 3.00, 0.19,nan, -1326.17, 2.50
2.96, 2.99, 0.10,nan, -443.85, 2.50
2.96, 2.98, 0.00,nan, 199.06, 2.51
2.96, 2.97, -0.14,nan, 527.24, 2.49
2.96, 2.96, -0.26,nan, 712.85, 2.50
2.96, 2.96, -0.48,nan, 653.67, 2.50
2.96, 2.95, -0.60,nan, 575.66, 2.49
2.96, 2.95, -0.79,nan, 457.30, 2.52
2.96, 2.95, -0.91,nan, 255.55, 2.51
2.96, 2.95, -1.06,nan, 94.15, 2.47
2.96, 2.96, -1.13,nan, 0.00, 2.53
2.96, 2.96, -1.22,nan, -48.42, 2.47
2.96, 2.96, -1.27,nan, -78.01, 2.50
2.96, 2.96, -1.29,nan, -75.32, 2.50
2.96, 2.96, -1.29,nan, -56.49, 2.51
2.96, 2.96, -1.22,nan, -53.80, 2.50
2.96, 2.96, -1.15,nan, -8.07, 2.50
2.96, 2.96, -1.01,nan, -10.76, 2.53
3.65, 2.96, -0.91,nan, 0.00, 2.52
3.65, 2.96, -0.74,nan, 1525.23, 2.43
3.65, 2.97, -0.65,nan, 1382.66, 2.53
3.65, 2.98, -0.46,nan, 906.53, 2.50
3.65, 2.99, -0.31,nan, 575.66, 2.56
3.65, 3.01, -0.07,nan, 368.53, 2.47
3.65, 3.03, 0.10,nan, 242.10, 2.47
3.65, 3.05, 0.43,nan, 177.54, 2.53
3.65, 3.06, 0.67,nan, 134.50, 2.44
3.65, 3.08, 1.08,nan, 99.53, 2.59
3.65, 3.10, 1.39,nan, 72.63, 2.41
3.65, 3.12, 1.87,nan, 69.94, 2.52
3.65, 3.14, 2.21,nan, 64.56, 2.48
3.65, 3.16, 2.73,nan, 51.11, 2.51
3.65, 3.17, 3.12,nan, 48.42, 2.55
3.65, 3.19, 3.67,nan, 53.80, 2.47
3.65, 3.21, 4.03,nan, 48.42, 2.48
3.65, 3.23, 4.53,nan, 37.66, 2.55
3.65, 3.25, 4.82,nan, 43.04, 2.47
3.65, 3.27, 5.23,nan, 51.11, 2.48
3.43, 3.29, 5.47,nan, 43.04, 2.48
3.43, 3.30, 5.78,nan, -287.83, 2.50
3.43, 3.32, 5.97,nan, 169.47, 2.50
3.43, 3.34, 6.19,nan, 166.78, 2.55
3.43, 3.36, 6.31,nan, 121.05, 2.45
3.43, 3.38, 6.47,nan, 83.39, 2.50
3.43, 3.39, 6.57,nan, -212.51, 2.50
3.43, 3.41, 6.67,nan, -763.96, 2.50
3.43, 3.43, 6.74,nan, -1100.21, 2.55
3.43, 3.43, 6.76,nan, -1108.28, 2.50
3.43, 3.44, 6.76,nan, -957.64, 2.45
3.43, 3.44, 6.69,nan, -675.19, 2.56
3.43, 3.44, 6.57,nan, -411.57, 2.46
3.43, 3.44, 6.35,nan, -220.58, 2.53
3.43, 3.44, 6.16,nan, -34.97, 2.46
3.43, 3.43, 5.80,nan, 72.63, 2.50
3.43, 3.43, 5.52,nan, 115.67, 2.52
3.43, 3.43, 5.06,nan, 142.57, 2.47
3.43, 3.43, 4.72,nan, 88.77, 2.50
3.43, 3.43, 4.22,nan, 115.67, 2.51
3.30, 3.43, 3.86,nan, 72.63, 2.50
3.30, 3.43, 3.31,nan, -1568.27, 2.50
3.30, 3.42, 2.93,nan, -1409.56, 2.50
3.30, 3.41, 2.37,nan, -933.43, 2.51
3.30, 3.39, 2.01,nan, -597.18, 2.48
3.30, 3.38, 1.46,nan, -390.05, 2.54
3.30, 3.36, 1.08,nan, -255.55, 2.49
3.30, 3.34, 0.53,nan, -172.16, 2.50
3.30, 3.33, 0.17,nan, 360.46, 2.48
3.30, 3.31, -0.38,nan, 828.52, 2.56
3.30, 3.30, -0.74,nan, 1097.52, 2.44
3.30, 3.29, -1.27,nan, 1065.24, 2.51
3.30, 3.29, -1.61,nan, 863.49, 2.49
3.30, 3.29, -2.04,nan, 597.18, 2.52
3.30, 3.29, -2.30,nan, 333.56, 2.48
3.30, 3.29, -2.61,nan, 137.19, 2.51
3.30, 3.29, -2.78,nan, 0.00, 2.51
3.30, 3.29, -2.90,nan, -88.77, 2.60
3.30, 3.29, -2.90,nan, -88.77, 2.42
3.30, 3.30, -2.83,nan, -131.81, 2.56
2.75, 3.30, -2.73,nan, -121.05, 2.46
2.75, 3.29, -2.52,nan, -1576.34, 2.55
2.75, 3.29, -2.33,nan, -1398.80, 2.42
2.75, 3.28, -2.06,nan, -928.05, 2.49
2.75, 3.26, -1.92,nan, -594.49, 2.49
